"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","1,861.84","1,829.59","1,872.80","1,829.59","324.88M","1.76%"
"03/31/2026","1,829.59","1,811.92","1,834.79","1,803.74","323.36M","0.98%"
"03/30/2026","1,811.92","1,821.53","1,824.82","1,778.32","299.90M","-0.53%"
"03/27/2026","1,821.53","1,791.25","1,825.60","1,787.02","280.16M","1.69%"
"03/26/2026","1,791.25","1,814.73","1,831.54","1,784.38","248.80M","-1.29%"
"03/25/2026","1,814.73","1,770.16","1,815.19","1,770.16","304.49M","2.52%"
"03/24/2026","1,770.16","1,741.05","1,794.61","1,741.05","267.82M","1.67%"
"03/23/2026","1,741.05","1,797.99","1,797.99","1,737.11","430.76M","-3.17%"
"03/20/2026","1,797.99","1,854.19","1,854.19","1,776.46","366.66M","-3.03%"
"03/19/2026","1,854.19","1,868.84","1,868.84","1,832.83","374.57M","-0.78%"
"03/18/2026","1,868.84","1,873.65","1,901.76","1,851.19","296.87M","-0.26%"
"03/17/2026","1,873.65","1,852.99","1,901.94","1,852.99","262.44M","1.11%"
"03/16/2026","1,852.99","1,853.60","1,863.80","1,841.70","279.63M","-0.03%"
"03/13/2026","1,853.60","1,859.80","1,874.42","1,839.49","329.39M","-0.33%"
"03/12/2026","1,859.80","1,889.94","1,895.39","1,851.20","380.81M","-1.59%"
"03/11/2026","1,889.94","1,836.96","1,894.44","1,836.96","392.46M","2.88%"
"03/10/2026","1,836.96","1,780.71","1,859.21","1,771.29","623.62M","3.16%"
"03/09/2026","1,780.71","1,904.19","1,904.19","1,773.41","736.22M","-6.48%"
"03/06/2026","1,904.19","1,942.76","1,942.76","1,901.45","416.88M","-1.99%"
"03/05/2026","1,942.76","1,956.53","1,985.71","1,937.53","434.12M","-0.70%"
"03/04/2026","1,956.53","1,959.35","1,971.38","1,902.57","608.87M","-0.14%"
"03/03/2026","1,959.35","2,010.75","2,019.60","1,953.39","528.77M","-2.56%"
"03/02/2026","2,010.75","2,061.75","2,061.75","1,966.54","624.91M","-2.47%"
"02/27/2026","2,061.75","2,069.82","2,077.35","2,047.50","319.90M","-0.39%"
"02/26/2026","2,069.82","2,049.64","2,073.31","2,049.64","339.49M","0.98%"
"02/25/2026","2,049.64","2,050.85","2,066.80","2,044.83","618.64M","-0.06%"
"02/24/2026","2,050.85","2,039.80","2,050.85","2,026.87","464.50M","0.54%"
"02/23/2026","2,039.80","2,018.64","2,044.96","2,018.64","307.48M","1.05%"
"02/13/2026","2,018.64","2,016.47","2,027.18","1,997.23","259.62M","0.11%"
"02/12/2026","2,016.47","2,000.90","2,018.94","2,000.90","216.18M","0.78%"
"02/11/2026","2,000.90","1,951.58","2,005.42","1,951.58","420.59M","2.53%"
"02/10/2026","1,951.58","1,947.75","1,970.10","1,935.90","359.46M","0.20%"
"02/09/2026","1,947.75","1,943.60","1,961.86","1,943.60","238.18M","0.21%"
"02/06/2026","1,943.60","1,969.27","1,969.27","1,937.66","482.23M","-1.30%"
"02/05/2026","1,969.27","1,988.19","1,995.69","1,969.27","327.38M","-0.95%"
"02/04/2026","1,988.19","1,997.69","2,003.26","1,974.34","469.72M","-0.48%"
"02/03/2026","1,997.69","2,004.31","2,018.35","1,991.13","399.25M","-0.33%"
"02/02/2026","2,004.31","2,029.81","2,035.72","1,971.28","379.36M","-1.26%"
"01/30/2026","2,029.81","2,018.98","2,033.32","1,996.29","375.00M","0.54%"
"01/29/2026","2,018.98","1,997.13","2,018.98","1,982.32","307.75M","1.09%"
"01/28/2026","1,997.13","2,019.88","2,031.76","1,987.47","391.08M","-1.13%"
"01/27/2026","2,019.88","2,032.28","2,036.82","2,010.57","317.60M","-0.61%"
"01/26/2026","2,032.28","2,077.76","2,089.09","2,024.23","393.81M","-2.19%"
"01/23/2026","2,077.76","2,082.35","2,102.77","2,070.80","369.57M","-0.22%"
"01/22/2026","2,082.35","2,080.38","2,099.52","2,063.25","357.02M","0.09%"
"01/21/2026","2,080.38","2,085.61","2,090.97","2,060.49","450.28M","-0.25%"
"01/20/2026","2,085.61","2,094.24","2,112.71","2,074.76","467.56M","-0.41%"
"01/19/2026","2,094.24","2,080.35","2,106.49","2,077.61","358.77M","0.67%"
"01/16/2026","2,080.35","2,047.48","2,098.66","2,040.48","453.21M","1.61%"
"01/15/2026","2,047.48","2,067.10","2,068.04","2,021.64","589.03M","-0.95%"
"01/14/2026","2,067.10","2,089.21","2,101.54","2,045.61","612.85M","-1.06%"
"01/13/2026","2,089.21","2,080.24","2,100.62","2,056.22","573.62M","0.43%"
"01/12/2026","2,080.24","2,066.21","2,082.02","2,053.50","671.70M","0.68%"
"01/09/2026","2,066.21","2,074.03","2,090.50","2,047.91","555.46M","-0.38%"
"01/08/2026","2,074.03","2,096.76","2,121.13","2,066.72","612.34M","-1.08%"
"01/07/2026","2,096.76","2,055.96","2,096.76","2,054.45","508.92M","1.98%"
"01/06/2026","2,055.96","2,028.68","2,058.90","2,022.60","434.75M","1.34%"
"01/05/2026","2,028.68","2,030.63","2,039.46","2,007.67","367.41M","-0.10%"
"12/31/2025","2,030.63","2,009.70","2,031.61","1,994.15","293.32M","1.04%"
"12/30/2025","2,009.70","1,990.66","2,009.89","1,975.19","289.99M","0.96%"
"12/29/2025","1,990.66","1,965.97","1,992.03","1,965.71","234.92M","1.26%"
"12/26/2025","1,965.97","1,976.21","1,976.21","1,914.65","477.13M","-0.52%"
"12/25/2025","1,976.21","2,023.13","2,049.15","1,976.21","291.28M","-2.32%"
"12/24/2025","2,023.13","2,012.87","2,036.61","1,994.66","358.92M","0.51%"
"12/23/2025","2,012.87","1,985.28","2,021.36","1,985.28","343.25M","1.39%"
"12/22/2025","1,985.28","1,933.28","1,985.28","1,933.28","368.17M","2.69%"
"12/19/2025","1,933.28","1,903.47","1,937.41","1,901.72","294.00M","1.57%"
"12/18/2025","1,903.47","1,897.95","1,903.47","1,885.01","231.39M","0.29%"
"12/17/2025","1,897.95","1,909.87","1,916.02","1,864.74","208.20M","-0.62%"
"12/16/2025","1,909.87","1,869.84","1,920.11","1,850.51","313.05M","2.14%"
"12/15/2025","1,869.84","1,867.03","1,889.48","1,856.31","239.07M","0.15%"
"12/12/2025","1,867.03","1,924.29","1,932.24","1,852.87","327.88M","-2.98%"
"12/11/2025","1,924.29","1,946.98","1,949.77","1,918.49","202.67M","-1.17%"
"12/10/2025","1,946.98","1,973.02","1,976.81","1,939.95","217.82M","-1.32%"
"12/09/2025","1,973.02","1,983.82","2,001.61","1,951.79","395.27M","-0.54%"
"12/08/2025","1,983.82","1,975.50","2,001.28","1,975.50","248.14M","0.42%"
"12/05/2025","1,975.50","1,979.53","2,000.75","1,967.50","277.95M","-0.20%"
"12/04/2025","1,979.53","1,971.99","1,986.17","1,965.46","351.82M","0.38%"
"12/03/2025","1,971.99","1,950.12","1,983.06","1,940.62","397.13M","1.12%"
"12/02/2025","1,950.12","1,933.56","1,953.08","1,920.23","285.65M","0.86%"
"12/01/2025","1,933.56","1,923.92","1,945.50","1,923.92","226.35M","0.50%"
"11/28/2025","1,923.92","1,921.18","1,931.28","1,911.64","226.28M","0.14%"
"11/27/2025","1,921.18","1,923.55","1,935.02","1,917.10","224.18M","-0.12%"
"11/26/2025","1,923.55","1,909.60","1,927.38","1,908.56","291.18M","0.73%"
"11/25/2025","1,909.60","1,916.36","1,932.62","1,902.12","311.64M","-0.35%"
"11/24/2025","1,916.36","1,899.89","1,925.79","1,899.89","229.50M","0.87%"
"11/21/2025","1,899.89","1,897.46","1,902.41","1,873.35","254.68M","0.13%"
"11/20/2025","1,897.46","1,886.20","1,904.44","1,883.22","261.84M","0.60%"
"11/19/2025","1,886.20","1,898.07","1,901.05","1,880.18","287.56M","-0.63%"
"11/18/2025","1,898.07","1,893.54","1,899.15","1,875.90","260.08M","0.24%"
"11/17/2025","1,893.54","1,871.54","1,894.54","1,868.11","248.56M","1.18%"
"11/14/2025","1,871.54","1,864.23","1,875.71","1,852.53","242.43M","0.39%"
"11/13/2025","1,864.23","1,872.27","1,878.20","1,853.56","253.63M","-0.43%"
"11/12/2025","1,872.27","1,821.60","1,872.31","1,821.60","300.64M","2.78%"
"11/11/2025","1,821.60","1,804.18","1,832.01","1,803.64","280.07M","0.97%"
"11/10/2025","1,804.18","1,824.71","1,844.44","1,804.11","278.15M","-1.13%"
"11/07/2025","1,824.71","1,869.60","1,874.16","1,817.93","395.07M","-2.40%"
"11/06/2025","1,869.60","1,886.47","1,890.96","1,866.91","233.04M","-0.89%"
"11/05/2025","1,886.47","1,897.71","1,908.02","1,876.57","234.52M","-0.59%"
"11/04/2025","1,897.71","1,857.64","1,908.55","1,843.43","459.23M","2.16%"
"11/03/2025","1,857.64","1,885.36","1,903.21","1,854.09","381.04M","-1.47%"
"10/31/2025","1,885.36","1,925.18","1,932.28","1,863.53","291.31M","-2.07%"
"10/30/2025","1,925.18","1,949.76","1,956.25","1,914.28","292.32M","-1.26%"
"10/29/2025","1,949.76","1,949.28","1,972.04","1,940.00","371.88M","0.02%"
"10/28/2025","1,949.28","1,900.76","1,949.51","1,871.72","393.61M","2.55%"
"10/27/2025","1,900.76","1,944.60","1,962.31","1,900.35","413.95M","-2.25%"
"10/24/2025","1,944.60","1,945.78","1,954.65","1,913.93","437.07M","-0.06%"
"10/23/2025","1,945.78","1,930.88","1,962.13","1,918.70","318.04M","0.77%"
"10/22/2025","1,930.88","1,915.90","1,955.93","1,870.27","379.40M","0.78%"
"10/21/2025","1,915.90","1,870.86","1,933.22","1,839.08","671.68M","2.41%"
"10/20/2025","1,870.86","1,977.14","1,977.14","1,868.69","777.47M","-5.38%"
"10/17/2025","1,977.14","2,022.27","2,043.09","1,969.29","527.12M","-2.23%"
"10/16/2025","2,022.27","2,009.64","2,025.76","2,004.24","416.43M","0.63%"
"10/15/2025","2,009.64","2,013.69","2,037.76","1,996.97","520.49M","-0.20%"
"10/14/2025","2,013.69","2,012.28","2,055.85","2,001.38","658.85M","0.07%"
"10/13/2025","2,012.28","1,980.57","2,013.81","1,933.94","574.69M","1.60%"
"10/10/2025","1,980.57","1,940.89","1,980.57","1,940.89","463.54M","2.04%"
"10/09/2025","1,940.89","1,922.95","1,946.78","1,920.87","570.44M","0.93%"
"10/08/2025","1,922.95","1,909.65","1,970.59","1,906.09","467.40M","0.70%"
"10/07/2025","1,909.65","1,918.97","1,941.27","1,896.90","345.88M","-0.49%"
"10/06/2025","1,918.97","1,859.51","1,918.97","1,858.23","523.68M","3.20%"
"10/03/2025","1,859.51","1,859.80","1,869.93","1,848.03","323.46M","-0.02%"
"10/02/2025","1,859.80","1,870.63","1,891.20","1,851.47","322.46M","-0.58%"
"10/01/2025","1,870.63","1,863.13","1,878.45","1,858.50","263.18M","0.40%"
"09/30/2025","1,863.13","1,862.23","1,880.90","1,841.40","390.49M","0.05%"
"09/29/2025","1,862.23","1,852.65","1,870.38","1,837.71","312.08M","0.52%"
"09/26/2025","1,852.65","1,858.67","1,865.67","1,841.40","297.70M","-0.32%"
"09/25/2025","1,858.67","1,853.48","1,868.11","1,842.70","287.01M","0.28%"
"09/24/2025","1,853.48","1,821.45","1,853.55","1,801.03","472.64M","1.76%"
"09/23/2025","1,821.45","1,819.60","1,835.37","1,806.46","339.79M","0.10%"
"09/22/2025","1,819.60","1,859.53","1,867.50","1,801.57","473.63M","-2.15%"
"09/19/2025","1,859.53","1,861.74","1,874.40","1,838.21","370.11M","-0.12%"
"09/18/2025","1,861.74","1,868.85","1,879.52","1,833.16","371.25M","-0.38%"
"09/17/2025","1,868.85","1,875.39","1,884.67","1,859.36","435.57M","-0.35%"
"09/16/2025","1,875.39","1,876.75","1,893.36","1,864.51","558.54M","-0.07%"
"09/15/2025","1,876.75","1,865.45","1,876.75","1,857.47","489.16M","0.61%"
"09/12/2025","1,865.45","1,855.08","1,880.79","1,843.87","393.56M","0.56%"
"09/11/2025","1,855.08","1,828.63","1,860.19","1,785.47","520.64M","1.45%"
"09/10/2025","1,828.63","1,825.17","1,845.53","1,811.28","352.32M","0.19%"
"09/09/2025","1,825.17","1,807.22","1,825.17","1,795.82","428.77M","0.99%"
